"Table 12-27     .   Child Abuse and Neglect Statistics, Guam:  Fiscal Years 2014 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,,Child Protective Services (CPS) Referrals Received,"Total Number of Children, Subject of CPS Report",CPS Referrals by Maltreatment Type (Total),Physical Abuse,Sexual Abuse,Emotional Abuse,Neglect - Physical,Neglect - Medical,Neglect - Abandonment,Neglect - Educational,Neglect - Emotional,Neglect - Lack of Adult Supervision,Neglect - Deprivation of Necessities,Neglect - Other,Referrals involving Teen Pregnancy,Referrals involving Children at-risk due to Drug use by Caretaker,Referrals involving exposure to Family Violence,Referrals involving Homelessness,Referrals involving Alcohol Abuse by Caretakers,Referrals involving Teen Suicide,"Expulsion of a Child from Home, Children in Need of Services, Lack of a Guardian, etc.",Unknown,,,,,,,,,,,,,,,,,
2019,,"1,323",1926,"2,584",550,287,369,941,0,0,217,210,0,0,709,50,214,222,59,71,27,26,8,,,,,,,,,,,,,,,,,
2018,,"1,364","2,039","2,801",590,325,392,"1,045",0,0,225,224,0,0,531,56,191,167,49,33,16,15,4,,,,,,,,,,,,,,,,,
2017,,"1,471","2,205","2,941",609,371,372,"1,048",0,0,197,344,0,0,508,47,211,145,32,45,21,4,3,,,,,,,,,,,,,,,,,
2016,,"1,389","2,147","2,801",608,303,491,"1,052",0,0,166,181,0,0,535,50,229,111,47,71,16,8,3,,,,,,,,,,,,,,,,,
2015,,"1,492","2,185","3,210",658,370,505,649,99,20,160,123,74,0,552,70,169,178,14,54,10,49,8,,,,,,,,,,,,,,,,,
2014,,"1,548","2,321","3,681",711,302,519,222,240,144,201,91,411,73,767,99,172,147,0,107,5,237,0,,,,,,,,,,,,,,,,,
2013,,"1,894","2,747",,797,423,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,"1,988","3,064",,941,524,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,"1,897","2,512",,763,434,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,"1,403","2,032",,478,313,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,"1,171","1,593",,476,229,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,"1,176","1,975",,520,230,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,"1,187","1,851",,526,266,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,"1,267","1,808",,464,215,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,"1,631","1,941",,590,269,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,"1,336","2,098",,517,227,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,"1,251","1,935",,641,210,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
